Plot,Trt No,Replication,N.dose,B.dose,Treatment,Germination,No.leaf.27.das,No.leaf.34das,No.leaf.41das,No.leaf.48das,No.leaf.55das,No.leaf62das,P.height.cm.27das,P.height.cm.34das,P.height.cm.41das,P.height.cm.48das,P.height.cm.55das,P.height.cm.62das,Harvest.leaf.length.cm.1,Harvest.leaf.length.cm.2,Root.yld.per.plot.kg,Root.yld.kg.per.ha,Bolting.per.plot,DM.root.1,DM.root.2,Root.yld.per.plot,,T_yld
32,16,2,N3,B3,N3B3,44.25,4.6,6.9,9.7,13.3,18.2,20.9,12.86,16.89,19.77,20.01,27.2,35.85,32.53333333,44.56666667,3.166,22614.28571,17,3.503333333,6.86,4.32,,4.32
33,1,3,N0,B0,N0B0,49.25,4.8,5.9,8.9,10.9,13.2,14.8,11.85,14.45,17.43,17.74,18.03,18.12,16.13333333,15.93333333,0.9,6428.571429,14,1.193333333,3.933333333,1.78,,1.78
34,2,3,N0,B1,N0B1,38.5,4.6,5.9,8.4,11.3,14.4,16,12,15.54,20.01,21.43,22,22.3,22.43333333,23.63333333,1.508,10771.42857,16,3.456666667,5.713333333,1.985,,1.84
35,3,3,N0,B2,N0B2,50,4.3,5.8,8.6,10.6,13.2,14.1,12.63,15.05,18.36,18.89,19.19,19.31,15.53333333,19.83333333,0.99,7071.428571,13,1.196666667,3.666666667,2.345,,2.345
36,4,3,N0,B3,N0B3,52.25,4.5,6,9.5,11.6,13.5,15.6,13.92,16.85,20.38,22.29,23.36,23.92,24.23333333,21.7,1.511,10792.85714,18,3.44,8.066666667,2.67,,2.67
37,5,3,N1,B0,N1B0,50.25,4.4,6.2,9.3,11.8,15.1,17.4,14.08,16.62,20.27,23.19,27.31,27.84,25.63333333,30.96666667,2.449,17492.85714,27,2.716666667,6.426666667,2,,2.44
38,6,3,N1,B1,N1B1,47.25,5.3,6.5,10.3,13.1,16.6,19,13.28,16.92,21.51,24.21,25.21,28.42,30.76666667,29.6,2.394,17100,23,2.176666667,7.9,2.22,,2.22
39,7,3,N1,B2,N1B2,58.25,5.3,6.7,10.6,13.5,17,18.6,14.9,18.84,22.39,26.21,29.61,29.82,30.03333333,31.7,2.587,18478.57143,26,4.18,7.24,2.78,,2.78
40,8,3,N1,B3,N1B3,45.25,4.5,6,9.3,12.5,16.2,17.6,13.04,16.18,21.47,25.43,27.64,28.56,28.56666667,35.06666667,2.356,16828.57143,21,2.446666667,13.94666667,3.12,,1.976
41,9,3,N2,B0,N2B0,53,5.3,6.5,10.3,13.9,18.2,20.6,14.13,18.62,22.81,25.18,31.64,32.6,32.3,36.06666667,2.845,20321.42857,25,5.1,12.88,2.78,,2.78
42,10,3,N2,B1,N2B1,52.5,4.6,5.9,9.6,12.9,16.7,19.2,13.96,18.29,21.64,27.04,33.21,34.49,36.56666667,36.76666667,3.254,23242.85714,17,4.436666667,8.533333333,3.05,,2.98
43,11,3,N2,B2,N2B2,51.75,5.1,6.7,10.5,13.8,18.2,21.2,14.21,18.03,22.73,27.42,34.19,36.18,40.43333333,40.56666667,2.239,15992.85714,23,3.29,8.85,3.375,,3.375
44,12,3,N2,B3,N2B3,42.5,4.8,6.6,9.8,13,16.9,19.7,13.42,17.36,21.55,24.43,29.49,31.52,31.66666667,38.56666667,2.44,17428.57143,22,3.416666667,10.26,3.68,,3.68
45,13,3,N3,B0,N3B0,44.75,5.1,6.3,10.3,13.3,17.7,19.1,13.85,17.5,22.39,28.16,36.76,42.89,40.13333333,51.83333333,3.86,27571.42857,16,1.536666667,6.636666667,3.21,,3.21
46,14,3,N3,B1,N3B1,52.5,5.4,6.5,10.8,12.9,18.1,22.1,15.42,19.53,24.04,28.39,37.27,43.73,45.53333333,52.93333333,4.452,31800,26,3.973333333,13.60333333,3.76,,3.76
47,15,3,N3,B2,N3B2,44.25,5.2,6.5,11.11,15.22,19.22222222,22.22222222,13.87,17.39,23.82222222,29.4,38.08888889,41.4,40.96666667,51.66666667,4.014,28671.42857,25,4.936666667,10.24333333,3.95,,3.95
48,16,3,N3,B3,N3B3,47,4.9,6.3,10.2,13.4,17.4,19.6,13.94,18.11,23.81,29.13,37.93,41.38,41.76666667,49.4,3.379,24135.71429,26,8.42,5.853333333,4.215,,4.215
